,spring-petclinic-config-server.org.springframework.samples.petclinic.config.ConfigServerApplication,spring-petclinic-discovery-server.org.springframework.samples.petclinic.discovery.DiscoveryServerApplication,spring-petclinic-admin-server.org.springframework.samples.petclinic.admin.SpringBootAdminApplication,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.model.Specialty,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.model.Vet,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.model.VetRepository,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.system.CacheConfig,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.system.VetsProperties$Cache,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.system.VetsProperties,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.web.VetResource,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.VetsServiceApplication,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.application.CustomersServiceClient,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.application.VisitsServiceClient,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.boundary.web.ApiGatewayController,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.dto.OwnerDetails,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.dto.PetDetails,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.dto.PetType,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.dto.VisitDetails,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.dto.Visits,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.ApiGatewayApplication,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.model.Owner,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.model.OwnerRepository,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.model.Pet,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.model.PetRepository,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.model.PetType,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.web.OwnerResource,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.web.PetDetails,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.web.PetRequest,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.web.PetResource,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.web.ResourceNotFoundException,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.CustomersServiceApplication,spring-petclinic-visits-service.org.springframework.samples.petclinic.visits.model.Visit,spring-petclinic-visits-service.org.springframework.samples.petclinic.visits.model.VisitRepository,spring-petclinic-visits-service.org.springframework.samples.petclinic.visits.web.VisitResource$Visits,spring-petclinic-visits-service.org.springframework.samples.petclinic.visits.web.VisitResource,spring-petclinic-visits-service.org.springframework.samples.petclinic.visits.VisitsServiceApplication
150,7,7,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
151,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
152,7,9,7,7,7,7,7,12,7,7,7,7,7,7,7,10,3,3,3,7,7,7,7,7,7,7,7,7,15,7,7,7,7,7,7,7
153,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
154,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
155,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7
156,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
157,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,7,7,7,7,7,7
158,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
159,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,3,3,3,3,3,3,3,3,3,3,3,3
160,3,3,3,3,3,3,10,10,10,10,3,3,3,3,3,4,4,4,4,4,4,4,5,4,4,4,4,14,4,4,4,4,4,4,4,4
161,4,4,7,4,4,4,4,4,4,4,12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
162,4,4,4,4,14,14,14,14,14,11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
163,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
164,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
165,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
166,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14
167,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
168,14,14,14,14,14,14,14,14,14,14,14,14,14,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
169,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,14
170,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1
171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1
172,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
173,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
174,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
175,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
176,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
177,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
178,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
179,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
180,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,8,10,10,10,10,3,10,10,10,10,10,10,10,10,10
181,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,6,10,10,10,10
182,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
183,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,10,10,10,10,10,10,10,10
184,10,10,10,10,10,10,10,5,10,1,10,10,10,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
185,8,8,8,8,8,8,8,8,8,8,8,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,8
186,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10
187,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
188,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,8,8,8,8,8,8
189,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
190,1,1,8,8,8,8,8,8,12,8,8,8,8,8,8,8,8,8,8,8,8,13,8,8,8,8,15,8,8,8,8,8,8,8,8,8
191,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
192,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
193,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
194,8,8,8,8,8,8,8,8,8,8,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
195,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
196,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
197,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8
198,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
199,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,8,8,8,8
200,11,14,4,4,2,3,3,3,15,15,4,15,7,16,16,11,4,4,19,19,19,3,3,1,1,14,14,11,1,3,3,3,4,5,5,13
201,2,11,12,1,10,19,19,4,4,4,12,12,12,1,1,13,9,9,5,5,5,2,11,11,14,1,15,2,2,2,3,5,15,11,11,17
202,11,2,16,5,13,2,2,4,5,7,14,11,1,1,16,15,11,12,12,6,13,10,11,15,5,5,3,14,5,5,5,10,11,2,1,1
203,14,11,11,4,4,1,8,11,11,1,4,4,3,3,9,4,4,4,13,13,10,10,9,1,1,1,2,2,2,11,11,15,15,15,4,4
204,4,4,7,5,9,9,3,4,4,4,17,19,19,11,11,5,5,13,4,4,11,11,3,5,5,17,2,10,9,1,1,5,12,12,11,3
205,1,1,5,15,19,11,11,2,5,5,5,10,10,10,11,1,1,1,5,14,11,11,11,11,4,1,5,17,17,17,11,11,11,11,2,13
206,5,5,5,3,11,2,10,10,17,17,1,11,16,16,16,2,2,14,9,1,7,6,2,2,4,19,5,5,14,14,13,13,10,10,11,11
207,11,4,5,5,3,3,3,3,3,17,5,5,1,1,13,13,13,13,5,5,19,19,4,17,10,10,10,11,5,5,5,15,11,11,1,1
208,5,13,13,2,19,9,1,1,1,5,3,3,11,11,11,9,1,5,5,5,5,3,3,11,3,18,18,17,1,1,14,14,14,11,3,3
209,5,3,10,10,10,10,10,11,11,5,5,10,5,19,11,11,1,1,7,17,10,11,11,9,1,5,5,15,15,2,2,2,1,1,6,14
210,3,11,11,11,4,4,4,14,3,2,4,4,1,1,4,17,10,11,11,11,1,1,1,5,5,13,13,2,11,2,2,2,2,6,6,1
211,14,11,11,4,4,15,10,10,10,9,9,16,13,13,4,4,4,5,5,11,11,11,17,17,5,15,2,2,19,17,1,1,17,11,11,11
212,9,5,7,5,10,10,10,17,17,17,17,11,11,4,5,5,13,13,11,9,1,1,5,17,10,10,12,12,5,5,12,2,11,11,1,1
213,1,5,4,19,11,11,11,5,5,4,4,2,11,11,1,1,5,5,4,17,11,9,1,10,5,13,2,2,2,2,5,5,16,6,11,4
214,11,7,7,15,4,4,9,15,13,13,6,6,6,6,14,14,11,11,4,5,18,18,10,11,1,1,5,5,15,4,4,15,15,15,10,12
215,4,1,4,13,13,11,11,2,2,13,17,17,17,17,17,17,5,4,11,11,11,1,5,10,10,10,11,1,1,1,16,16,3,11,11,11
216,9,15,15,15,2,2,17,10,1,5,8,11,11,11,11,1,5,5,13,13,2,2,4,4,15,15,12,12,12,12,12,12,12,4,4,4
217,16,11,11,1,1,5,5,10,2,2,14,1,1,14,11,11,12,12,5,19,19,11,10,1,1,5,14,11,11,5,5,5,11,11,2,1
218,10,15,14,11,11,1,1,8,3,11,11,11,15,15,5,4,4,13,12,11,9,1,5,20,3,3,11,1,1,5,10,11,11,1,1,5
219,8,11,11,2,1,5,12,12,11,11,1,1,5,9,3,3,1,5,17,11,11,11,1,1,3,3,11,5,5,5,17,11,11,11,17,5
220,4,2,11,5,5,5,10,11,11,3,5,15,15,4,2,2,5,5,11,11,11,17,5,5,14,10,4,4,10,12,11,11,1,5,15,10
221,2,18,1,5,13,11,11,4,5,5,19,11,11,1,1,5,10,11,11,1,5,5,3,11,4,1,5,12,10,11,11,1,5,5,3,11
222,2,1,5,5,2,2,2,2,5,5,14,11,11,11,5,5,5,11,11,1,2,5,10,11,11,4,5,7,3,11,2,4,1,5,10,11
223,2,1,5,17,11,11,11,5,5,13,2,11,9,1,5,19,3,2,11,14,14,14,4,4,2,5,3,3,2,2,1,10,10,11,12,5
224,2,3,11,11,1,5,5,2,2,2,1,5,5,18,11,4,4,5,5,14,11,11,11,1,5,5,11,11,19,5,7,5,2,2,1,1
225,10,14,11,11,4,5,5,7,10,11,10,10,17,5,5,11,11,5,5,1,14,11,11,19,5,5,13,11,11,1,5,15,11,11,11,1
226,17,19,19,11,5,5,5,12,12,11,1,5,5,7,11,11,1,1,6,11,11,2,1,5,7,12,11,17,1,5,7,10,2,2,1,16
227,3,11,11,11,1,5,15,11,11,2,1,5,14,11,11,11,5,5,4,11,11,11,5,5,13,11,11,1,5,5,14,11,11,4,1,5
228,2,11,11,11,10,5,4,4,11,17,17,17,17,2,2,14,5,5,1,4,4,4,11,19,5,6,2,2,12,12,5,17,2,2,2,5
229,17,7,11,11,11,15,15,4,12,12,12,12,9,11,1,5,14,14,11,2,1,5,14,14,11,11,1,1,1,5,2,2,2,12,12,12
230,1,10,11,11,17,5,5,11,11,3,13,5,5,13,11,11,17,17,17,3,3,3,5,5,9,1,9,3,3,3,17,15,15,15,10,10
231,19,6,1,6,13,9,11,16,1,17,17,10,10,1,16,11,4,4,13,15,15,11,4,4,10,10,9,9,1,4,4,13,14,9,1,1
232,2,10,14,1,1,1,15,13,17,1,1,13,13,13,4,4,4,15,3,3,2,4,2,14,14,1,18,17,11,14,14,1,4,10,10,3
233,1,1,1,13,10,10,1,1,9,16,15,5,5,15,2,19,19,19,1,1,2,2,14,14,11,1,1,10,10,2,5,5,11,11,2,1
234,14,19,14,13,4,4,11,10,10,10,1,1,11,15,3,4,11,11,14,1,1,2,13,13,5,1,19,17,17,17,5,5,19,10,12,11
235,11,1,13,13,13,9,1,17,17,16,11,15,15,15,12,12,12,10,15,4,4,4,3,3,3,4,4,14,14,11,2,3,3,9,9,4
236,19,14,14,3,3,3,19,19,15,1,1,3,12,13,4,4,4,5,5,3,2,10,5,1,1,2,10,15,15,1,1,13,13,14,1,1
237,11,13,2,4,1,5,13,13,4,4,1,12,3,2,4,1,19,14,14,4,4,5,13,13,1,4,10,10,5,4,2,3,14,5,1,2
238,1,14,1,1,2,10,10,1,1,1,12,12,12,4,1,15,15,15,1,1,13,13,13,1,4,11,19,17,4,4,10,10,13,4,4,11
239,15,15,4,4,11,10,5,1,2,11,14,5,1,4,11,11,5,1,1,10,10,13,1,1,11,12,13,4,4,11,14,5,4,4,11,3
240,14,1,4,2,10,10,1,1,4,2,15,15,15,4,4,10,10,1,1,2,2,13,3,1,1,16,16,4,4,12,12,12,1,4,4,11
241,5,15,4,4,3,14,5,1,2,2,14,16,1,4,15,13,10,1,1,11,10,13,1,1,11,11,17,1,4,11,11,13,1,1,11,14
242,3,5,4,9,14,14,1,4,4,7,5,5,1,11,10,3,13,4,11,15,15,3,2,2,9,15,9,4,12,12,12,12,1,19,19,19
243,5,6,1,6,14,14,15,15,15,15,2,2,1,1,11,14,14,4,2,12,12,9,4,4,4,13,13,13,13,4,11,11,15,15,3,2
244,14,10,10,9,11,11,5,5,17,4,4,14,14,14,4,4,2,16,11,9,2,13,18,9,9,1,17,17,11,1,6,13,13,13,5,12
245,2,17,4,4,10,5,5,5,5,4,11,15,17,17,3,12,19,19,14,13,9,14,3,3,17,4,4,4,10,12,2,1,5,14,2,4
246,14,7,3,17,10,10,11,5,12,12,12,14,5,18,2,3,1,18,11,11,5,16,11,6,6,6,14,19,19,19,19,11,3,4,4,5
247,8,17,2,11,5,5,2,19,1,19,19,2,13,5,13,4,17,17,15,4,1,14,14,11,1,1,19,19,19,1,18,11,11,1,13,11
248,11,1,1,17,11,17,1,18,11,11,5,5,11,11,17,17,17,11,2,2,9,9,5,17,12,12,12,8,4,4,3,3,9,1,4,14
249,16,17,1,3,11,15,5,4,2,3,12,5,9,4,2,5,12,12,1,15,15,19,19,1,13,13,13,13,13,17,17,17,4,4,11,10
250,2,1,10,17,17,17,15,11,5,1,1,11,19,4,4,14,14,1,1,4,11,6,5,5,10,4,4,14,11,4,1,1,3,11,4,1
251,10,11,1,1,2,11,15,5,9,11,17,5,14,11,4,5,11,15,17,4,11,9,5,2,11,6,1,8,11,13,10,5,11,8,5,17
252,10,2,1,10,10,19,4,4,16,16,4,4,14,14,1,3,11,15,1,1,3,3,1,1,14,11,5,1,12,2,2,2,10,14,1,1
253,19,11,1,5,18,11,18,1,11,11,4,5,16,16,16,16,16,2,15,20,12,17,17,17,5,5,2,19,1,3,12,14,4,4,2,16
254,16,17,11,11,5,17,3,2,5,5,19,2,1,12,14,11,4,18,9,1,1,10,11,5,5,10,11,7,5,4,4,4,14,16,3,3
255,2,5,11,10,4,17,12,17,15,4,13,13,13,3,3,10,4,15,15,15,12,1,13,11,11,4,17,3,11,5,4,11,11,1,18,3
256,18,5,19,11,13,13,19,9,5,10,11,10,5,5,11,2,1,1,14,14,4,7,7,7,1,10,11,13,5,15,15,19,1,10,2,2
257,15,15,17,1,1,11,11,5,5,3,10,9,15,14,14,1,1,14,11,1,13,12,17,17,17,9,20,13,13,12,1,15,19,9,6,1
258,11,5,5,9,11,17,17,14,19,19,19,1,10,6,5,13,18,4,1,3,14,10,4,5,14,11,1,17,11,11,1,13,11,3,1,4
259,11,4,1,12,12,17,1,8,19,2,2,3,10,10,1,1,15,9,2,4,14,10,10,11,11,2,1,12,13,15,1,1,14,11,1,5
260,15,10,1,1,12,11,4,1,14,3,4,1,14,7,4,4,4,15,5,1,4,10,14,15,6,2,2,5,5,17,17,17,5,5,13,13
261,8,13,11,17,17,15,4,4,12,10,10,1,1,19,19,5,1,13,10,14,1,3,3,3,1,1,19,10,6,13,11,5,1,9,17,17
262,14,16,16,16,11,6,3,17,17,13,13,13,13,13,14,14,17,2,12,5,5,2,9,7,17,17,17,15,5,11,4,1,1,7,15,4
263,4,7,14,4,4,2,5,5,17,10,4,11,4,20,3,3,17,8,8,4,4,3,3,12,11,8,8,17,3,3,5,11,4,4,2,3
264,19,3,11,6,1,14,3,3,1,1,4,4,4,5,7,16,1,1,15,2,2,3,10,10,1,1,19,14,5,1,9,9,4,15,15,3
265,2,1,1,14,2,4,3,15,1,1,2,19,5,5,2,2,1,13,10,2,1,3,15,19,1,7,10,16,1,4,3,15,4,4,10,10
266,20,11,4,4,14,14,10,10,10,15,5,3,2,16,16,16,2,2,3,5,15,11,4,4,14,5,5,4,11,5,5,4,4,17,7,19
267,9,1,16,16,16,4,5,7,16,1,1,12,15,15,4,15,14,12,1,4,11,5,5,4,11,12,5,2,2,14,14,14,2,2,12,15
268,10,4,4,11,5,5,4,4,1,12,12,2,15,15,9,3,4,11,9,5,4,2,12,12,17,11,19,5,19,2,2,10,10,9,1,4
269,3,5,5,13,10,10,19,19,2,16,5,16,10,13,4,11,3,3,11,1,1,14,12,2,4,9,15,15,4,11,3,16,20,1,4,4
270,17,5,10,10,1,5,3,3,4,1,14,14,2,1,3,3,11,4,1,14,10,4,4,19,12,12,1,4,14,14,14,4,11,10,5,4
271,14,2,5,17,9,8,2,11,14,5,11,11,4,15,15,20,4,4,11,15,15,4,2,18,18,1,1,2,3,1,1,18,10,12,1,10
272,9,4,1,14,14,14,4,1,7,19,19,1,4,11,16,1,14,14,2,1,2,11,11,1,4,11,10,5,1,11,15,15,1,13,13,17
273,17,19,19,1,19,11,13,4,14,15,15,1,1,9,11,9,4,2,11,14,5,4,11,9,5,1,2,2,13,5,13,2,11,1,18,11
274,11,5,5,15,11,1,6,1,11,19,10,5,9,10,10,1,1,5,20,4,4,17,10,10,10,4,13,11,5,3,3,11,10,5,10,11
275,6,4,5,11,2,2,2,15,15,13,4,4,15,19,9,1,2,11,14,5,5,17,11,11,1,8,11,11,13,1,13,11,13,1,1,11
276,19,1,4,4,11,10,5,5,10,11,5,1,12,11,14,5,15,3,11,10,1,10,11,4,5,12,12,12,17,10,10,11,5,5,11,11
277,4,6,10,9,10,13,1,5,11,11,4,1,1,10,10,11,4,5,10,11,11,1,5,15,11,11,3,1,1,11,19,19,1,1,17,3
278,16,1,5,2,11,5,5,3,3,11,4,4,4,11,13,12,1,17,3,3,5,5,5,11,11,1,1,10,11,11,5,1,11,11,3,3
279,3,18,18,18,1,1,12,11,3,1,13,11,9,1,1,3,11,9,5,4,4,11,17,7,10,2,1,5,2,11,17,11,1,1,11,11
280,2,5,5,9,13,13,1,7,15,19,19,6,6,11,11,5,4,14,11,4,5,10,11,10,10,10,10,11,5,1,4,11,11,7,5,11
281,10,10,5,17,17,9,5,12,11,11,13,13,5,15,15,17,17,1,1,12,11,11,4,4,18,11,3,1,18,11,11,13,5,15,15,15
282,17,17,17,10,11,5,5,5,11,4,4,17,17,17,10,2,1,5,20,11,7,4,4,3,11,6,4,4,11,7,5,19,2,2,5,5
283,3,11,2,1,5,16,11,4,4,15,12,12,12,13,1,15,18,17,4,1,13,14,14,1,2,2,3,19,15,17,17,11,11,13,13,11
284,16,3,3,5,11,4,2,2,1,1,12,5,2,2,4,15,17,3,3,3,4,5,11,5,18,2,2,17,15,15,4,11,11,5,5,11
285,14,4,17,17,9,8,8,4,11,12,12,19,19,4,4,10,3,5,13,2,2,5,5,14,14,11,4,4,3,9,11,18,18,2,11,9
286,14,18,3,3,3,5,5,4,11,1,1,3,3,3,3,5,5,11,11,1,1,12,11,3,5,5,15,11,11,1,13,1,11,11,2,12
287,5,1,2,2,2,15,5,1,1,11,14,14,14,14,11,1,4,4,14,14,9,17,17,17,2,2,9,5,5,2,2,2,17,17,11,11
288,14,4,2,3,9,5,13,4,4,15,15,15,11,17,17,17,12,11,11,11,5,1,4,4,2,10,10,3,3,12,5,14,14,11,1,1
289,1,3,3,13,10,17,17,17,13,11,11,12,5,12,11,10,10,15,1,11,11,1,1,1,2,13,13,13,9,9,4,4,3,3,5,5
290,2,10,10,1,1,11,2,5,5,2,9,4,18,18,11,11,3,5,5,19,19,19,19,1,1,1,1,1,12,13,13,13,4,4,4,18
291,14,11,11,11,3,5,5,15,15,15,15,17,17,17,11,11,12,5,5,5,2,2,13,13,3,3,1,5,4,10,14,15,5,1,2,2
292,11,10,1,1,1,4,3,3,3,9,1,4,10,11,12,1,1,12,15,15,15,1,1,11,11,13,13,3,13,2,2,13,14,9,9,9
293,9,15,3,3,3,12,13,4,4,10,10,19,1,1,1,11,11,5,5,1,11,2,2,10,17,1,1,11,11,19,13,13,5,5,1,1
294,1,1,3,10,10,4,4,4,1,5,14,14,2,4,1,1,11,11,2,17,5,1,1,11,10,7,13,4,1,11,12,12,12,1,4,4
295,4,18,14,9,9,5,5,2,10,10,10,1,1,4,15,15,15,1,1,11,11,12,13,13,4,17,4,13,13,13,11,11,5,5,6,11
296,12,14,7,5,6,2,2,2,6,1,1,11,11,10,13,5,5,5,5,5,17,17,17,11,11,1,5,6,13,13,6,1,15,10,10,2
297,9,1,1,11,12,12,17,17,17,17,17,17,2,2,20,20,19,19,8,4,4,11,12,12,12,2,2,2,15,1,1,11,11,3,5,5
298,14,2,2,5,5,2,2,2,10,10,17,11,4,4,5,3,3,3,10,10,10,10,17,17,5,12,11,2,14,14,1,1,1,1,3,3
299,19,11,4,4,5,11,11,5,1,1,3,3,15,5,4,4,4,13,13,5,1,2,13,13,2,12,1,1,1,12,11,11,5,5,5,3
300,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
301,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,12,8,8,8,8,8,8,8,8,8,5
302,8,8,8,8,8,8,8,8,8,8,8,8,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
303,11,11,11,11,11,11,11,11,11,11,13,11,11,11,11,11,9,9,9,9,9,9,9,9,9,9,15,15,15,15,15,15,15,15,15,15
304,15,15,15,15,15,15,15,15,8,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,8,8,8,8
305,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,8,8,8,8
306,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,8,8,8,14,11,11,11
307,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,3,11,12,9,9,9,9,9,9,9,12
308,12,12,12,12,12,12,12,16,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
309,12,12,12,12,11,14,14,14,14,14,14,14,14,14,14,14,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
310,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,11,11,11,11,11,11
311,11,11,11,1,11,11,11,11,8,8,8,8,8,8,8,8,5,5,5,5,14,14,14,14,14,14,14,14,14,14,14,14,4,4,4,4
312,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
313,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,12
314,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
315,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,12,12,12,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
316,1,1,1,1,1,1,1,1,1,1,1,1,1,11,11,11,11,11,9,11,11,11,11,14,14,14,14,14,14,14,14,14,14,14,14,11
317,11,11,11,11,11,3,11,11,11,11,12,12,12,12,12,12,12,12,12,4,12,12,11,11,12,12,12,12,12,12,12,12,12,12,12,12
318,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,11,11,11,11,11,11,11,11,11
319,11,11,11,11,11,12,12,10,12,15,15,15,15,15,15,15,15,15,15,15,15,12,15,15,15,15,15,15,15,15,15,15,14,14,14,14
